call_id,customer_id,call_date,carrier,country,call_category,predicted_category,confidence,actual_category,latency_ms,blocked,model_version
CALL-008077,CUST-004,2025-02-24,Cinder Telecom,Australia,robocall,robocall,0.834,robocall,99,true,v3.0
CALL-008078,CUST-084,2025-07-29,Bluepeak Mobile,Germany,legitimate,legitimate,0.975,legitimate,177,false,v3.1
CALL-008079,CUST-008,2025-04-24,Granite Mobile,United States,legitimate,legitimate,0.956,legitimate,106,false,v3.0
CALL-008080,CUST-049,2025-05-01,Bluepeak Mobile,United States,legitimate,legitimate,0.8,legitimate,64,false,v3.1
CALL-008081,CUST-082,2025-10-12,Bluepeak Mobile,United States,spam,spam,0.98,spam,61,true,v3.2
CALL-008082,CUST-016,2025-06-12,Oakline Mobile,United States,legitimate,legitimate,0.93,legitimate,89,false,v3.1
CALL-008083,CUST-049,2025-09-23,Bluepeak Mobile,United States,legitimate,legitimate,0.822,legitimate,89,false,v3.2
CALL-008084,CUST-016,2025-03-04,Oakline Mobile,United States,spam,spam,0.9,spam,68,true,v3.0
CALL-008085,CUST-091,2025-04-25,multi-carrier,Australia,legitimate,legitimate,0.955,legitimate,117,false,v3.0
CALL-008086,CUST-099,2025-08-26,Alder Telecom,Spain,legitimate,legitimate,0.812,legitimate,189,false,v3.1
CALL-008087,CUST-057,2025-12-23,Bluepeak Mobile,France,legitimate,legitimate,0.961,legitimate,180,false,v3.2
CALL-008088,CUST-009,2025-12-22,Harbor CX,France,legitimate,legitimate,0.842,legitimate,217,false,v3.2
CALL-008089,CUST-024,2025-12-30,Bluepeak Mobile,Ireland,robocall,robocall,0.849,robocall,158,true,v3.2
CALL-008090,CUST-052,2025-09-18,Alder Telecom,Canada,legitimate,legitimate,0.918,legitimate,110,false,v3.2
CALL-008091,CUST-081,2025-02-19,Bluepeak Mobile,Netherlands,legitimate,legitimate,0.994,legitimate,85,false,v3.0
CALL-008092,CUST-056,2025-05-04,Northstar Mobile,Australia,legitimate,legitimate,0.922,legitimate,113,false,v3.1
CALL-008093,CUST-048,2025-05-29,multi-carrier,France,spam,spam,0.788,spam,108,true,v3.1
CALL-008094,CUST-028,2025-06-13,Northstar Mobile,United States,legitimate,legitimate,0.98,legitimate,88,false,v3.1
CALL-008095,CUST-054,2025-04-06,Alder Telecom,Netherlands,legitimate,legitimate,0.896,legitimate,109,false,v3.0
CALL-008096,CUST-080,2025-03-19,Alder Telecom,Canada,robocall,robocall,0.977,robocall,90,true,v3.0
CALL-008097,CUST-006,2025-06-23,Everfield Connect,Ireland,legitimate,legitimate,0.923,legitimate,101,false,v3.1
CALL-008098,CUST-090,2025-08-05,Northstar Mobile,Spain,legitimate,legitimate,0.891,legitimate,201,false,v3.1
CALL-008099,CUST-070,2025-07-03,Northstar Mobile,Australia,legitimate,legitimate,0.82,legitimate,130,false,v3.1
CALL-008100,CUST-005,2025-01-04,Driftwood Voice,United States,legitimate,legitimate,0.91,legitimate,61,false,v3.0
CALL-008101,CUST-063,2025-01-06,Northstar Mobile,France,fraud,fraud,0.948,fraud,110,true,v3.0
CALL-008102,CUST-040,2025-09-19,Bluepeak Mobile,Canada,legitimate,legitimate,0.913,legitimate,70,false,v3.2
CALL-008103,CUST-004,2025-07-31,Cinder Telecom,Australia,spam,spam,0.877,spam,143,true,v3.1
CALL-008104,CUST-057,2025-01-27,Bluepeak Mobile,France,legitimate,legitimate,0.904,legitimate,96,false,v3.0
CALL-008105,CUST-053,2025-12-11,Northstar Mobile,Australia,spam,spam,0.772,spam,116,true,v3.2
CALL-008106,CUST-034,2025-02-11,Northstar Mobile,Canada,spam,fraud,0.967,spam,121,true,v3.0
CALL-008107,CUST-003,2025-07-05,Bluepeak Bank,Netherlands,legitimate,legitimate,0.899,legitimate,90,false,v3.1
CALL-008108,CUST-026,2025-11-13,Alder Telecom,Canada,legitimate,legitimate,0.941,legitimate,115,false,v3.2
CALL-008109,CUST-004,2025-02-23,Cinder Telecom,Australia,legitimate,legitimate,0.88,legitimate,106,false,v3.0
CALL-008110,CUST-006,2025-11-04,Everfield Connect,Ireland,spam,spam,0.843,spam,166,true,v3.2
CALL-008111,CUST-064,2025-11-16,multi-carrier,Australia,legitimate,legitimate,0.806,legitimate,107,false,v3.2
CALL-008112,CUST-020,2025-08-30,Summit Telecom,United States,fraud,fraud,0.945,fraud,105,true,v3.1
CALL-008113,CUST-058,2025-05-09,Alder Telecom,Canada,robocall,spam,0.867,robocall,67,true,v3.1
CALL-008114,CUST-033,2025-09-25,Alder Telecom,Ireland,legitimate,legitimate,0.904,legitimate,166,false,v3.2
CALL-008115,CUST-100,2025-03-09,Northstar Mobile,United States,legitimate,legitimate,0.911,legitimate,103,false,v3.0
CALL-008116,CUST-099,2025-10-06,Alder Telecom,Spain,spam,spam,0.861,spam,157,true,v3.2
CALL-008117,CUST-083,2025-10-19,Alder Telecom,Canada,legitimate,legitimate,0.925,legitimate,89,false,v3.2
CALL-008118,CUST-063,2025-09-17,Northstar Mobile,France,legitimate,legitimate,0.849,legitimate,156,false,v3.2
CALL-008119,CUST-083,2025-12-31,Alder Telecom,Canada,legitimate,legitimate,0.969,legitimate,108,false,v3.2
CALL-008120,CUST-006,2025-08-04,Everfield Connect,Ireland,legitimate,legitimate,0.884,legitimate,183,false,v3.1
CALL-008121,CUST-041,2025-05-24,Alder Telecom,Australia,legitimate,legitimate,0.918,legitimate,105,false,v3.1
CALL-008122,CUST-058,2025-01-16,Alder Telecom,Canada,robocall,robocall,0.763,robocall,103,true,v3.0
CALL-008123,CUST-087,2025-10-08,Northstar Mobile,Ireland,legitimate,legitimate,0.867,legitimate,147,false,v3.2
CALL-008124,CUST-003,2025-06-15,Bluepeak Bank,Netherlands,spam,spam,0.805,spam,71,true,v3.1
CALL-008125,CUST-007,2025-12-18,Fairway Financial,United States,fraud,robocall,0.793,fraud,95,true,v3.2
CALL-008126,CUST-085,2025-01-03,multi-carrier,Australia,fraud,fraud,0.824,fraud,96,true,v3.0
CALL-008127,CUST-005,2025-06-15,Driftwood Voice,United States,spam,spam,0.785,spam,103,true,v3.1
CALL-008128,CUST-057,2025-09-27,Bluepeak Mobile,France,legitimate,legitimate,0.912,legitimate,171,false,v3.2
CALL-008129,CUST-037,2025-10-25,Bluepeak Mobile,Australia,legitimate,legitimate,0.817,legitimate,117,false,v3.2
CALL-008130,CUST-085,2025-12-30,multi-carrier,Australia,legitimate,legitimate,0.949,legitimate,103,false,v3.2
CALL-008131,CUST-031,2025-01-01,Northstar Mobile,Australia,legitimate,legitimate,0.843,legitimate,123,false,v3.0
CALL-008132,CUST-052,2025-07-13,Alder Telecom,Canada,legitimate,legitimate,0.898,legitimate,80,false,v3.1
CALL-008133,CUST-055,2025-04-10,Bluepeak Mobile,Australia,legitimate,legitimate,0.867,legitimate,112,false,v3.0
CALL-008134,CUST-006,2025-11-03,Everfield Connect,Ireland,legitimate,legitimate,0.979,legitimate,171,false,v3.2
CALL-008135,CUST-095,2025-09-27,Alder Telecom,Australia,legitimate,legitimate,0.966,legitimate,124,false,v3.2
CALL-008136,CUST-002,2025-05-22,Alder Cloud,Canada,spam,spam,0.889,spam,78,true,v3.1
CALL-008137,CUST-086,2025-11-21,Bluepeak Mobile,Canada,legitimate,legitimate,0.989,legitimate,99,false,v3.2
CALL-008138,CUST-001,2025-07-01,Northstar Mobile,United States,fraud,spam,0.965,fraud,111,true,v3.1
CALL-008139,CUST-061,2025-01-21,multi-carrier,United States,spam,spam,0.835,spam,66,true,v3.0
CALL-008140,CUST-083,2025-08-16,Alder Telecom,Canada,legitimate,legitimate,0.958,legitimate,77,false,v3.1
CALL-008141,CUST-093,2025-05-26,Alder Telecom,Netherlands,robocall,robocall,0.945,robocall,131,true,v3.1
CALL-008142,CUST-078,2025-04-01,Bluepeak Mobile,Ireland,legitimate,legitimate,0.853,legitimate,84,false,v3.0
CALL-008143,CUST-009,2025-05-01,Harbor CX,France,legitimate,legitimate,0.816,legitimate,91,false,v3.1
CALL-008144,CUST-083,2025-09-17,Alder Telecom,Canada,legitimate,legitimate,0.992,legitimate,71,false,v3.2
CALL-008145,CUST-058,2025-11-08,Alder Telecom,Canada,legitimate,legitimate,0.819,legitimate,81,false,v3.2
CALL-008146,CUST-086,2025-06-30,Bluepeak Mobile,Canada,spam,spam,0.93,spam,113,true,v3.1
CALL-008147,CUST-055,2025-03-14,Bluepeak Mobile,Australia,legitimate,legitimate,0.963,legitimate,142,false,v3.0
CALL-008148,CUST-011,2025-01-01,Juniper Bank,United States,spam,spam,0.961,spam,89,true,v3.0
CALL-008149,CUST-096,2025-06-06,Northstar Mobile,Netherlands,legitimate,legitimate,0.926,legitimate,91,false,v3.1
CALL-008150,CUST-071,2025-10-18,Northstar Mobile,Canada,legitimate,legitimate,0.943,legitimate,94,false,v3.2
CALL-008151,CUST-080,2025-09-23,Alder Telecom,Canada,legitimate,legitimate,0.967,legitimate,106,false,v3.2
CALL-008152,CUST-013,2025-07-23,Lighthouse Voice,United States,robocall,robocall,0.864,robocall,73,true,v3.1
CALL-008153,CUST-029,2025-09-27,multi-carrier,United States,spam,fraud,0.762,spam,93,true,v3.2
CALL-008154,CUST-003,2025-10-14,Bluepeak Bank,Netherlands,legitimate,legitimate,0.926,legitimate,174,false,v3.2
CALL-008155,CUST-100,2025-08-09,Northstar Mobile,United States,spam,spam,0.799,spam,82,true,v3.1
CALL-008156,CUST-009,2025-02-09,Harbor CX,France,robocall,legitimate,0.615,robocall,139,false,v3.0
CALL-008157,CUST-009,2025-09-08,Harbor CX,France,legitimate,legitimate,0.856,legitimate,195,false,v3.2
CALL-008158,CUST-021,2025-10-30,Northstar Mobile,Netherlands,robocall,legitimate,0.756,robocall,176,false,v3.2
CALL-008159,CUST-096,2025-09-11,Northstar Mobile,Netherlands,robocall,robocall,0.857,robocall,190,true,v3.2
CALL-008160,CUST-083,2025-02-23,Alder Telecom,Canada,legitimate,legitimate,0.89,legitimate,74,false,v3.0
CALL-008161,CUST-048,2025-06-24,multi-carrier,France,spam,spam,0.926,spam,114,true,v3.1
CALL-008162,CUST-017,2025-03-12,Pioneer CX,United States,legitimate,legitimate,0.825,legitimate,89,false,v3.0
CALL-008163,CUST-056,2025-12-19,Northstar Mobile,Australia,legitimate,legitimate,0.843,legitimate,110,false,v3.2
CALL-008164,CUST-028,2025-09-13,Northstar Mobile,United States,fraud,fraud,0.938,fraud,96,true,v3.2
CALL-008165,CUST-093,2025-06-11,Alder Telecom,Netherlands,spam,spam,0.894,spam,68,true,v3.1
CALL-008166,CUST-027,2025-12-24,Alder Telecom,Germany,legitimate,fraud,0.681,legitimate,192,true,v3.2
CALL-008167,CUST-041,2025-08-21,Alder Telecom,Australia,spam,spam,0.819,spam,107,true,v3.1
CALL-008168,CUST-048,2025-02-13,multi-carrier,France,legitimate,legitimate,0.918,legitimate,108,false,v3.0
CALL-008169,CUST-061,2025-03-29,multi-carrier,United States,legitimate,legitimate,0.947,legitimate,95,false,v3.0
CALL-008170,CUST-001,2025-01-01,Northstar Mobile,United States,spam,spam,0.804,spam,105,true,v3.0
CALL-008171,CUST-066,2025-12-01,Northstar Mobile,Germany,legitimate,legitimate,0.993,legitimate,221,false,v3.2
CALL-008172,CUST-029,2025-06-04,multi-carrier,United States,legitimate,legitimate,0.821,legitimate,69,false,v3.1
CALL-008173,CUST-037,2025-09-24,Bluepeak Mobile,Australia,legitimate,legitimate,0.967,legitimate,97,false,v3.2
CALL-008174,CUST-082,2025-09-01,Bluepeak Mobile,United States,legitimate,legitimate,0.995,legitimate,119,false,v3.2
CALL-008175,CUST-049,2025-02-16,Bluepeak Mobile,United States,legitimate,legitimate,0.865,legitimate,107,false,v3.0
CALL-008176,CUST-009,2025-08-28,Harbor CX,France,legitimate,legitimate,0.97,legitimate,193,false,v3.1
CALL-008177,CUST-004,2025-08-04,Cinder Telecom,Australia,fraud,fraud,0.983,fraud,106,true,v3.1
CALL-008178,CUST-007,2025-12-12,Fairway Financial,United States,robocall,robocall,0.946,robocall,83,true,v3.2
CALL-008179,CUST-097,2025-08-09,multi-carrier,Australia,legitimate,legitimate,0.906,legitimate,123,false,v3.1
CALL-008180,CUST-053,2025-06-24,Northstar Mobile,Australia,legitimate,legitimate,0.903,legitimate,124,false,v3.1
CALL-008181,CUST-056,2025-04-29,Northstar Mobile,Australia,legitimate,spam,0.623,legitimate,104,false,v3.0
CALL-008182,CUST-090,2025-06-21,Northstar Mobile,Spain,spam,legitimate,0.736,spam,112,false,v3.1
CALL-008183,CUST-086,2025-03-22,Bluepeak Mobile,Canada,legitimate,legitimate,0.871,legitimate,91,false,v3.0
CALL-008184,CUST-027,2025-04-05,Alder Telecom,Germany,legitimate,legitimate,0.922,legitimate,112,false,v3.0
CALL-008185,CUST-085,2025-05-21,multi-carrier,Australia,spam,legitimate,0.758,spam,136,false,v3.1
CALL-008186,CUST-061,2025-06-22,multi-carrier,United States,legitimate,legitimate,0.991,legitimate,79,false,v3.1
CALL-008187,CUST-049,2025-01-27,Bluepeak Mobile,United States,spam,legitimate,0.654,spam,91,false,v3.0
CALL-008188,CUST-059,2025-07-18,Northstar Mobile,United States,legitimate,legitimate,0.892,legitimate,114,false,v3.1
CALL-008189,CUST-080,2025-05-25,Alder Telecom,Canada,legitimate,legitimate,0.989,legitimate,115,false,v3.1
CALL-008190,CUST-054,2025-05-17,Alder Telecom,Netherlands,legitimate,legitimate,0.902,legitimate,143,false,v3.1
CALL-008191,CUST-046,2025-06-13,Northstar Mobile,Australia,spam,spam,0.852,spam,109,true,v3.1
CALL-008192,CUST-060,2025-10-01,Northstar Mobile,Spain,spam,robocall,0.848,spam,199,true,v3.2
CALL-008193,CUST-069,2025-12-11,Northstar Mobile,Spain,legitimate,legitimate,0.831,legitimate,187,false,v3.2
CALL-008194,CUST-086,2025-11-20,Bluepeak Mobile,Canada,legitimate,legitimate,0.826,legitimate,101,false,v3.2
CALL-008195,CUST-040,2025-01-22,Bluepeak Mobile,Canada,legitimate,legitimate,0.935,legitimate,108,false,v3.0
CALL-008196,CUST-099,2025-10-29,Alder Telecom,Spain,legitimate,legitimate,0.863,legitimate,167,false,v3.2
CALL-008197,CUST-001,2025-04-23,Northstar Mobile,United States,legitimate,legitimate,0.879,legitimate,92,false,v3.0
CALL-008198,CUST-086,2025-10-30,Bluepeak Mobile,Canada,robocall,robocall,0.821,robocall,60,true,v3.2
CALL-008199,CUST-034,2025-04-28,Northstar Mobile,Canada,legitimate,legitimate,0.919,legitimate,109,false,v3.0
CALL-008200,CUST-046,2025-12-20,Northstar Mobile,Australia,legitimate,legitimate,0.891,legitimate,139,false,v3.2
CALL-008201,CUST-041,2025-04-12,Alder Telecom,Australia,legitimate,legitimate,0.93,legitimate,120,false,v3.0
CALL-008202,CUST-083,2025-05-04,Alder Telecom,Canada,legitimate,legitimate,0.978,legitimate,86,false,v3.1
CALL-008203,CUST-032,2025-06-08,Bluepeak Mobile,United States,spam,spam,0.774,spam,89,true,v3.1
CALL-008204,CUST-054,2025-06-16,Alder Telecom,Netherlands,robocall,legitimate,0.643,robocall,62,false,v3.1
CALL-008205,CUST-026,2025-12-27,Alder Telecom,Canada,legitimate,legitimate,0.991,legitimate,102,false,v3.2
CALL-008206,CUST-033,2025-03-28,Alder Telecom,Ireland,legitimate,legitimate,0.988,legitimate,107,false,v3.0
CALL-008207,CUST-051,2025-09-15,Bluepeak Mobile,Ireland,robocall,robocall,0.895,robocall,193,true,v3.2
CALL-008208,CUST-086,2025-12-13,Bluepeak Mobile,Canada,legitimate,legitimate,0.875,legitimate,104,false,v3.2
CALL-008209,CUST-042,2025-01-09,Bluepeak Mobile,Germany,spam,spam,0.969,spam,108,true,v3.0
CALL-008210,CUST-051,2025-01-30,Bluepeak Mobile,Ireland,legitimate,legitimate,0.921,legitimate,94,false,v3.0
CALL-008211,CUST-026,2025-01-16,Alder Telecom,Canada,legitimate,legitimate,0.949,legitimate,106,false,v3.0
CALL-008212,CUST-001,2025-06-20,Northstar Mobile,United States,legitimate,legitimate,0.875,legitimate,93,false,v3.1
CALL-008213,CUST-045,2025-10-22,multi-carrier,France,spam,spam,0.877,spam,181,true,v3.2
CALL-008214,CUST-073,2025-07-10,Alder Telecom,Australia,spam,legitimate,0.717,spam,122,false,v3.1
CALL-008215,CUST-073,2025-11-23,Alder Telecom,Australia,legitimate,legitimate,0.965,legitimate,96,false,v3.2
CALL-008216,CUST-003,2025-10-24,Bluepeak Bank,Netherlands,legitimate,legitimate,0.989,legitimate,172,false,v3.2
CALL-008217,CUST-077,2025-04-20,Alder Telecom,Australia,legitimate,legitimate,0.964,legitimate,133,false,v3.0
CALL-008218,CUST-089,2025-04-09,Bluepeak Mobile,Australia,legitimate,legitimate,0.927,legitimate,121,false,v3.0
CALL-008219,CUST-085,2025-09-05,multi-carrier,Australia,robocall,robocall,0.958,robocall,105,true,v3.2
CALL-008220,CUST-056,2025-10-27,Northstar Mobile,Australia,legitimate,legitimate,0.923,legitimate,125,false,v3.2
CALL-008221,CUST-084,2025-02-22,Bluepeak Mobile,Germany,legitimate,legitimate,0.926,legitimate,92,false,v3.0
CALL-008222,CUST-029,2025-01-04,multi-carrier,United States,legitimate,legitimate,0.876,legitimate,80,false,v3.0
CALL-008223,CUST-055,2025-05-04,Bluepeak Mobile,Australia,legitimate,legitimate,0.892,legitimate,103,false,v3.1
CALL-008224,CUST-081,2025-07-10,Bluepeak Mobile,Netherlands,legitimate,legitimate,0.823,legitimate,102,false,v3.1
CALL-008225,CUST-006,2025-02-08,Everfield Connect,Ireland,legitimate,legitimate,0.918,legitimate,112,false,v3.0
CALL-008226,CUST-024,2025-09-05,Bluepeak Mobile,Ireland,legitimate,legitimate,0.912,legitimate,177,false,v3.2
CALL-008227,CUST-073,2025-01-17,Alder Telecom,Australia,legitimate,legitimate,0.907,legitimate,127,false,v3.0
CALL-008228,CUST-023,2025-10-11,Northstar Mobile,Australia,fraud,fraud,0.821,fraud,133,true,v3.2
CALL-008229,CUST-043,2025-08-31,Bluepeak Mobile,Canada,legitimate,legitimate,0.958,legitimate,83,false,v3.1
CALL-008230,CUST-001,2025-04-26,Northstar Mobile,United States,robocall,robocall,0.926,robocall,130,true,v3.0
CALL-008231,CUST-014,2025-11-16,Meadow Connect,United States,legitimate,legitimate,0.962,legitimate,79,false,v3.2
CALL-008232,CUST-053,2025-10-21,Northstar Mobile,Australia,legitimate,legitimate,0.893,legitimate,101,false,v3.2
CALL-008233,CUST-060,2025-02-07,Northstar Mobile,Spain,legitimate,legitimate,0.873,legitimate,99,false,v3.0
CALL-008234,CUST-029,2025-04-05,multi-carrier,United States,legitimate,legitimate,0.905,legitimate,70,false,v3.0
CALL-008235,CUST-046,2025-10-20,Northstar Mobile,Australia,legitimate,legitimate,0.922,legitimate,103,false,v3.2
CALL-008236,CUST-003,2025-10-23,Bluepeak Bank,Netherlands,legitimate,legitimate,0.879,legitimate,191,false,v3.2
CALL-008237,CUST-029,2025-07-24,multi-carrier,United States,legitimate,legitimate,0.919,legitimate,81,false,v3.1
CALL-008238,CUST-007,2025-07-08,Fairway Financial,United States,legitimate,fraud,0.777,legitimate,109,true,v3.1
CALL-008239,CUST-056,2025-11-21,Northstar Mobile,Australia,legitimate,legitimate,0.813,legitimate,140,false,v3.2
CALL-008240,CUST-024,2025-05-27,Bluepeak Mobile,Ireland,legitimate,legitimate,0.884,legitimate,68,false,v3.1
CALL-008241,CUST-021,2025-04-30,Northstar Mobile,Netherlands,fraud,fraud,0.79,fraud,108,true,v3.0
CALL-008242,CUST-094,2025-08-22,Alder Telecom,Australia,legitimate,legitimate,0.886,legitimate,103,false,v3.1
CALL-008243,CUST-059,2025-10-05,Northstar Mobile,United States,legitimate,legitimate,0.816,legitimate,60,false,v3.2
CALL-008244,CUST-100,2025-06-03,Northstar Mobile,United States,legitimate,legitimate,0.833,legitimate,82,false,v3.1
CALL-008245,CUST-020,2025-12-29,Summit Telecom,United States,legitimate,legitimate,0.962,legitimate,77,false,v3.2
CALL-008246,CUST-035,2025-08-22,multi-carrier,United States,legitimate,legitimate,0.934,legitimate,93,false,v3.1
CALL-008247,CUST-044,2025-09-20,multi-carrier,Australia,robocall,robocall,0.894,robocall,113,true,v3.2
CALL-008248,CUST-059,2025-08-13,Northstar Mobile,United States,fraud,fraud,0.81,fraud,87,true,v3.1
CALL-008249,CUST-030,2025-03-13,multi-carrier,Spain,legitimate,legitimate,0.802,legitimate,118,false,v3.0
CALL-008250,CUST-003,2025-04-23,Bluepeak Bank,Netherlands,spam,spam,0.967,spam,103,true,v3.0
CALL-008251,CUST-039,2025-07-29,Northstar Mobile,Ireland,legitimate,legitimate,0.911,legitimate,187,false,v3.1
CALL-008252,CUST-089,2025-09-28,Bluepeak Mobile,Australia,legitimate,legitimate,0.892,legitimate,145,false,v3.2
CALL-008253,CUST-083,2025-03-28,Alder Telecom,Canada,legitimate,legitimate,0.952,legitimate,102,false,v3.0
CALL-008254,CUST-080,2025-12-14,Alder Telecom,Canada,legitimate,legitimate,0.856,legitimate,82,false,v3.2
CALL-008255,CUST-095,2025-08-15,Alder Telecom,Australia,spam,spam,0.954,spam,109,true,v3.1
CALL-008256,CUST-078,2025-01-22,Bluepeak Mobile,Ireland,robocall,robocall,0.821,robocall,125,true,v3.0
CALL-008257,CUST-046,2025-10-12,Northstar Mobile,Australia,spam,robocall,0.898,spam,103,true,v3.2
CALL-008258,CUST-054,2025-05-01,Alder Telecom,Netherlands,legitimate,legitimate,0.809,legitimate,119,false,v3.1
CALL-008259,CUST-087,2025-08-19,Northstar Mobile,Ireland,legitimate,legitimate,0.904,legitimate,184,false,v3.1
CALL-008260,CUST-054,2025-12-09,Alder Telecom,Netherlands,legitimate,legitimate,0.802,legitimate,169,false,v3.2
CALL-008261,CUST-078,2025-09-02,Bluepeak Mobile,Ireland,spam,spam,0.986,spam,158,true,v3.2
CALL-008262,CUST-085,2025-02-04,multi-carrier,Australia,legitimate,legitimate,0.87,legitimate,127,false,v3.0
CALL-008263,CUST-079,2025-01-08,multi-carrier,Canada,legitimate,legitimate,0.851,legitimate,52,false,v3.0
CALL-008264,CUST-080,2025-07-31,Alder Telecom,Canada,legitimate,legitimate,0.849,legitimate,94,false,v3.1
CALL-008265,CUST-003,2025-11-18,Bluepeak Bank,Netherlands,spam,spam,0.855,spam,186,true,v3.2
CALL-008266,CUST-001,2025-01-28,Northstar Mobile,United States,spam,fraud,0.947,spam,63,true,v3.0
CALL-008267,CUST-048,2025-06-12,multi-carrier,France,fraud,fraud,0.852,fraud,130,true,v3.1
CALL-008268,CUST-044,2025-07-04,multi-carrier,Australia,fraud,fraud,0.846,fraud,124,true,v3.1
CALL-008269,CUST-094,2025-06-03,Alder Telecom,Australia,legitimate,legitimate,0.914,legitimate,143,false,v3.1
CALL-008270,CUST-039,2025-06-15,Northstar Mobile,Ireland,legitimate,legitimate,0.986,legitimate,118,false,v3.1
CALL-008271,CUST-001,2025-05-15,Northstar Mobile,United States,robocall,robocall,0.816,robocall,88,true,v3.1
CALL-008272,CUST-026,2025-02-02,Alder Telecom,Canada,legitimate,legitimate,0.823,legitimate,107,false,v3.0
CALL-008273,CUST-060,2025-11-16,Northstar Mobile,Spain,fraud,robocall,0.987,fraud,180,true,v3.2
CALL-008274,CUST-076,2025-09-30,multi-carrier,Australia,legitimate,legitimate,0.84,legitimate,115,false,v3.2
CALL-008275,CUST-086,2025-08-03,Bluepeak Mobile,Canada,legitimate,legitimate,0.903,legitimate,70,false,v3.1
CALL-008276,CUST-063,2025-06-10,Northstar Mobile,France,robocall,spam,0.809,robocall,119,true,v3.1
CALL-008277,CUST-056,2025-02-28,Northstar Mobile,Australia,robocall,robocall,0.772,robocall,104,true,v3.0
CALL-008278,CUST-015,2025-07-19,Nimbus Financial,France,legitimate,legitimate,0.973,legitimate,190,false,v3.1
CALL-008279,CUST-038,2025-04-23,multi-carrier,Canada,legitimate,legitimate,0.874,legitimate,101,false,v3.0
CALL-008280,CUST-078,2025-07-07,Bluepeak Mobile,Ireland,legitimate,legitimate,0.986,legitimate,94,false,v3.1
CALL-008281,CUST-037,2025-12-07,Bluepeak Mobile,Australia,legitimate,legitimate,0.969,legitimate,123,false,v3.2
CALL-008282,CUST-021,2025-08-04,Northstar Mobile,Netherlands,legitimate,legitimate,0.941,legitimate,179,false,v3.1
CALL-008283,CUST-057,2025-09-20,Bluepeak Mobile,France,legitimate,legitimate,0.817,legitimate,189,false,v3.2
CALL-008284,CUST-040,2025-11-17,Bluepeak Mobile,Canada,legitimate,legitimate,0.837,legitimate,92,false,v3.2
CALL-008285,CUST-052,2025-08-14,Alder Telecom,Canada,legitimate,legitimate,0.841,legitimate,83,false,v3.1
CALL-008286,CUST-092,2025-12-24,Alder Telecom,United States,legitimate,legitimate,0.856,legitimate,63,false,v3.2
CALL-008287,CUST-066,2025-02-19,Northstar Mobile,Germany,legitimate,legitimate,0.802,legitimate,149,false,v3.0
CALL-008288,CUST-031,2025-09-26,Northstar Mobile,Australia,legitimate,legitimate,0.891,legitimate,127,false,v3.2
CALL-008289,CUST-049,2025-02-27,Bluepeak Mobile,United States,robocall,robocall,0.875,robocall,105,true,v3.0
CALL-008290,CUST-055,2025-09-08,Bluepeak Mobile,Australia,spam,spam,0.848,spam,120,true,v3.2
CALL-008291,CUST-023,2025-03-11,Northstar Mobile,Australia,spam,spam,0.844,spam,107,true,v3.0
CALL-008292,CUST-047,2025-10-07,Bluepeak Mobile,United States,fraud,fraud,0.887,fraud,95,true,v3.2
CALL-008293,CUST-058,2025-08-09,Alder Telecom,Canada,legitimate,legitimate,0.915,legitimate,74,false,v3.1
CALL-008294,CUST-055,2025-03-25,Bluepeak Mobile,Australia,spam,spam,0.909,spam,131,true,v3.0
CALL-008295,CUST-027,2025-10-27,Alder Telecom,Germany,legitimate,legitimate,0.867,legitimate,171,false,v3.2
CALL-008296,CUST-021,2025-03-22,Northstar Mobile,Netherlands,spam,spam,0.94,spam,104,true,v3.0
CALL-008297,CUST-039,2025-12-02,Northstar Mobile,Ireland,legitimate,legitimate,0.809,legitimate,197,false,v3.2
CALL-008298,CUST-067,2025-11-08,Northstar Mobile,Australia,legitimate,legitimate,0.925,legitimate,102,false,v3.2
CALL-008299,CUST-029,2025-03-12,multi-carrier,United States,fraud,fraud,0.941,fraud,86,true,v3.0
CALL-008300,CUST-080,2025-11-06,Alder Telecom,Canada,spam,spam,0.917,spam,85,true,v3.2
CALL-008301,CUST-084,2025-09-20,Bluepeak Mobile,Germany,spam,spam,0.773,spam,194,true,v3.2
CALL-008302,CUST-008,2025-03-12,Granite Mobile,United States,legitimate,legitimate,0.838,legitimate,81,false,v3.0
CALL-008303,CUST-092,2025-10-25,Alder Telecom,United States,robocall,robocall,0.765,robocall,89,true,v3.2
CALL-008304,CUST-084,2025-09-15,Bluepeak Mobile,Germany,spam,fraud,0.856,spam,165,true,v3.2
CALL-008305,CUST-069,2025-10-29,Northstar Mobile,Spain,legitimate,legitimate,0.952,legitimate,165,false,v3.2
CALL-008306,CUST-013,2025-11-29,Lighthouse Voice,United States,robocall,robocall,0.788,robocall,72,true,v3.2
CALL-008307,CUST-028,2025-11-19,Northstar Mobile,United States,spam,spam,0.824,spam,74,true,v3.2
CALL-008308,CUST-014,2025-12-16,Meadow Connect,United States,spam,spam,0.848,spam,75,true,v3.2
CALL-008309,CUST-075,2025-01-19,multi-carrier,Spain,robocall,robocall,0.791,robocall,104,true,v3.0
CALL-008310,CUST-058,2025-06-23,Alder Telecom,Canada,legitimate,legitimate,0.895,legitimate,100,false,v3.1
CALL-008311,CUST-038,2025-03-17,multi-carrier,Canada,legitimate,legitimate,0.964,legitimate,89,false,v3.0
